┌────────┬───────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │      name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼───────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│     34 │   EIGENA2 │   2550 │   1275 │     first_order │           8.92e-22 │              1.60e+01 │           1.40e-06 │             6.98e-11 │  first_order │        0.00e+00 │           2.75e+01 │        0.00e+00 │          0.00e+00 │
│     35 │    SIPOW4 │      4 │   2000 │     first_order │           2.72e-01 │              1.44e-01 │           9.61e-07 │             4.09e-06 │  first_order │        2.72e-01 │           1.85e-01 │        1.84e-11 │          0.00e+00 │
│     36 │  DIXCHLNG │     10 │      5 │     first_order │           3.26e-10 │              1.02e-02 │           3.75e-12 │             1.34e-06 │  first_order │        2.47e+03 │           7.00e-03 │        4.62e-05 │          2.80e-08 │
│     37 │  CHACONN1 │      3 │      3 │     first_order │           1.95e+00 │              2.58e-03 │           6.68e-11 │             2.03e-06 │  first_order │        1.95e+00 │           4.00e-03 │        3.75e-07 │          0.00e+00 │
│     38 │   SIPOW2M │      2 │   2000 │     first_order │          -1.00e+00 │              1.28e-01 │           1.81e-09 │             6.57e-06 │  first_order │       -1.00e+00 │           4.01e-01 │        1.84e-11 │          0.00e+00 │
│     39 │   LHAIFAM │     99 │    150 │        max_time │                NaN │              1.20e+03 │                NaN │                  NaN │      unknown │        0.00e+00 │           1.00e-03 │             Inf │               Inf │
│     40 │      TFI1 │      3 │    101 │     first_order │           5.33e+00 │              2.40e-01 │           8.54e-10 │             2.74e-09 │  first_order │        5.33e+00 │           8.60e-02 │        5.44e-09 │          0.00e+00 │
│     41 │  KIWCRESC │      3 │      2 │     first_order │           1.59e-08 │              4.65e-03 │           7.42e-07 │             4.48e-08 │  first_order │        3.70e-06 │           7.00e-03 │        3.42e-08 │          0.00e+00 │
│     42 │     HS100 │      7 │      4 │     first_order │           6.81e+02 │              7.28e-02 │           2.89e-06 │             5.29e-09 │  first_order │        6.81e+02 │           9.00e-03 │        3.05e-09 │          0.00e+00 │
│     43 │  POWELL20 │   5000 │   5000 │        max_time │           6.25e+09 │              1.20e+03 │           1.12e+05 │             6.00e+00 │  first_order │        6.51e+09 │           2.33e+01 │        2.39e-07 │          0.00e+00 │
│     44 │   WOMFLET │      3 │      3 │     first_order │           6.05e+00 │              2.84e-03 │           6.47e-07 │             8.24e-06 │  first_order │        6.05e+00 │           7.00e-03 │        7.12e-07 │          0.00e+00 │
│     45 │      BT11 │      5 │      3 │     first_order │           8.25e-01 │              3.35e-03 │           8.85e-09 │             2.02e-08 │  first_order │        8.25e-01 │           5.00e-03 │        3.34e-08 │          1.19e-08 │
│     46 │   SPIN2OP │    102 │    100 │     first_order │           2.86e-27 │              3.92e+02 │           3.26e-07 │             2.17e-11 │      unknown │        7.25e-06 │           2.42e+01 │        5.62e+17 │          1.80e+03 │
│     47 │    POLAK3 │     12 │     10 │     first_order │           5.93e+00 │              1.22e+00 │           6.21e-11 │             7.44e-09 │     max_iter │       -2.08e+04 │           3.58e+00 │        3.22e+02 │          5.28e+06 │
│     48 │  ORTHREGC │   5005 │   2500 │        max_time │           9.48e+01 │              1.20e+03 │           1.12e-02 │             3.29e-07 │  first_order │        9.48e+01 │           4.39e-01 │        3.61e-06 │          2.35e-06 │
│     49 │  LUKVLE17 │   9997 │   7497 │        max_time │           2.95e+04 │              1.20e+03 │           9.56e-09 │             2.51e-03 │  first_order │        3.37e+04 │           1.92e+01 │        2.08e+05 │          2.48e-06 │
│     50 │   MARATOS │      2 │      1 │     first_order │          -1.00e+00 │              7.39e-04 │           1.17e-11 │             1.52e-06 │  first_order │       -1.00e+00 │           3.00e-03 │        3.94e-08 │          3.19e-08 │
│     51 │     HS113 │     10 │      8 │     first_order │           2.43e+01 │              7.71e-02 │           2.98e-06 │             5.91e-08 │  first_order │        2.43e+01 │           8.00e-03 │        5.75e-08 │          0.00e+00 │
│     52 │  LUKVLI14 │   9998 │   6664 │        max_time │           1.56e+04 │              1.20e+03 │           5.10e+01 │             2.16e-03 │  first_order │        1.56e+04 │           1.52e+00 │        1.71e-03 │          0.00e+00 │
│     53 │       BT6 │      5 │      2 │     first_order │           5.15e+00 │              1.32e-02 │           1.38e-09 │             3.95e-08 │  first_order │        2.77e-01 │           1.00e-02 │        1.06e-09 │          5.31e-11 │
│     54 │   LISWET7 │   2002 │   2000 │        max_time │           5.00e+00 │              1.20e+03 │           1.03e-04 │             8.46e-05 │  first_order │        9.91e+01 │           1.38e-01 │        2.71e-11 │          0.00e+00 │
│     55 │  ORTHREGB │     27 │      6 │     first_order │           1.61e-20 │              2.39e-02 │           2.93e-08 │             3.41e-06 │  first_order │        4.52e-20 │           3.00e-03 │        2.04e-10 │          1.97e-10 │
│     56 │   LUKVLI4 │  10000 │   4999 │        max_time │           1.38e+04 │              1.20e+03 │           4.08e+00 │             1.10e-04 │  first_order │        1.40e+04 │           6.62e+00 │        2.69e+00 │          0.00e+00 │
│     57 │  LUKVLI11 │   9998 │   6664 │        max_time │           3.62e-04 │              1.20e+03 │           2.01e+01 │             8.94e-03 │  first_order │        4.24e-03 │           9.92e-01 │        2.07e-06 │          0.00e+00 │
│     58 │       HS6 │      2 │      1 │     first_order │           4.04e-16 │              8.38e-03 │           3.44e-05 │             2.48e-06 │  first_order │        0.00e+00 │           5.00e-03 │        0.00e+00 │          2.22e-15 │
│     59 │  GIGOMEZ3 │      3 │      3 │     first_order │           2.00e+00 │              5.04e-03 │           9.13e-13 │             6.88e-06 │  first_order │        2.00e+00 │           6.00e-03 │        2.76e-07 │          0.00e+00 │
│     60 │      HS28 │      3 │      1 │     first_order │           6.41e-31 │              4.78e-04 │           7.50e-13 │             1.00e-13 │  first_order │        2.47e-31 │           2.00e-03 │        8.88e-16 │          2.22e-16 │
│     61 │   LISWET6 │   2002 │   2000 │        max_time │           5.00e+00 │              1.20e+03 │           5.35e-05 │             3.10e-05 │  first_order │        5.00e+00 │           2.36e-01 │        9.09e-12 │          0.00e+00 │
│     62 │      TFI3 │      3 │    101 │     first_order │           4.30e+00 │              6.89e-03 │           6.60e-07 │             3.99e-06 │  first_order │        4.30e+00 │           2.30e-02 │        6.66e-08 │          0.00e+00 │
│     63 │  MINMAXBD │      5 │     20 │     first_order │           1.16e+02 │              3.31e-01 │           1.29e-07 │             8.74e-08 │  first_order │        1.16e+02 │           3.00e-02 │        3.55e-10 │          0.00e+00 │
│     64 │  LUKVLE15 │   9997 │   7497 │        max_time │           3.25e-03 │              1.20e+03 │           1.95e+01 │             3.53e-04 │     max_iter │        7.36e+06 │           1.63e+02 │        5.31e+05 │          2.39e+01 │
│     65 │      HS10 │      2 │      1 │     first_order │          -1.00e+00 │              2.78e-03 │           2.47e-14 │             5.91e-07 │  first_order │       -1.00e+00 │           9.00e-03 │        1.07e-08 │          0.00e+00 │
