┌────────┬──────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │     name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
│     48 │      CB2 │      3 │      3 │     first_order │           1.95e+00 │              5.00e-03 │           1.91e-05 │             3.13e-06 │  first_order │        1.95e+00 │           2.00e-03 │        2.61e-06 │          0.00e+00 │
│     49 │     HS77 │      5 │      2 │     first_order │           5.53e+00 │              4.00e-03 │           3.43e-09 │             4.98e-06 │  first_order │        2.42e-01 │           2.00e-03 │        2.83e-09 │          2.26e-10 │
│     50 │     HS39 │      4 │      2 │     first_order │          -1.00e+00 │              1.00e-03 │           1.14e-11 │             9.26e-08 │  first_order │       -1.00e+00 │           3.00e-03 │        2.84e-06 │          2.99e-07 │
│     51 │     HS88 │      2 │      1 │     first_order │           1.36e+00 │              1.27e-01 │           3.15e-12 │             2.44e-06 │  first_order │        1.36e+00 │           1.00e-02 │        3.48e-06 │          0.00e+00 │
│     52 │  MWRIGHT │      5 │      3 │     first_order │           2.50e+01 │              1.00e-03 │           2.24e-07 │             1.13e-07 │  first_order │        2.50e+01 │           2.00e-03 │        7.75e-08 │          1.14e-09 │
│     53 │      BT4 │      3 │      2 │     first_order │          -4.55e+01 │              0.00e+00 │           1.44e-09 │             2.84e-07 │  first_order │       -3.70e+00 │           5.00e-03 │        2.17e-09 │          1.03e-09 │
│     54 │      BT2 │      3 │      1 │     first_order │           3.26e-02 │              4.00e-03 │           7.95e-06 │             1.11e-08 │  first_order │        3.26e-02 │           2.00e-03 │        1.90e-06 │          1.00e-06 │
│     55 │     HS46 │      5 │      2 │     first_order │           8.33e-16 │              3.00e-03 │           5.34e-07 │             1.70e-07 │  first_order │        3.68e-10 │           3.00e-03 │        3.32e-07 │          4.75e-06 │
│     56 │     HS49 │      5 │      2 │     first_order │           1.38e-09 │              1.00e-03 │           9.03e-07 │             8.70e-13 │  first_order │        3.52e-08 │           3.00e-03 │        1.03e-05 │          4.44e-16 │
│     57 │ HS100MOD │      7 │      4 │     first_order │           6.79e+02 │              2.49e-01 │           1.75e-05 │             1.01e-11 │  first_order │        6.79e+02 │           2.00e-03 │        6.09e-11 │          0.00e+00 │
